Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete
[2, 1]	[[15.515000000000015, 50.561438867316625], '2']	0	1.0	1.0	9	345.4169829396923	9983	3724	0.4	3108.7528464572306	120	120	22	22	1
[2, 3]	[[734.47, 1160.53], '22']	1	1.0	1.0	1	207.08466625050022	9967	3737	0.4	207.08466625050022	80	80	15	15	1
[4]	['3']	0	1.0	1.0	12	313.26346513390115	9904	3740	0.2	39378.195081481914	1276	1276	234	234	1
[2, 0]	[[1273.637515755533, 1363.555], '4']	1	1.0	1.0	1	91.2	9535	3775	0.4	91.2	5	5	1	1	1
[2]	[[589.285, 1248.7150000000001]]	1	1.0	1.0	8	227.5854641379291	9969	3787	0.2	1820.6837131034329	163	163	31	31	1
[2]	[[447.72499999999997, 900.2750000000001]]	1	0.9242424242424242	0.9242424242424242	1	254.42632633471152	9969	3908	0.2	254.42632633471152	122	132	23	25	1
[2, 1]	[[764.5162923604619, 1205.18], '2']	1	1.0	1.0	3	217.60075543499403	9969	3919	0.4	652.8022663049821	114	114	22	22	1
[2, 4, 1]	[[532.8199999999999, 931.5286407206817], '1', '2']	1	1.0	1.0	1	248.59240381087835	9969	3919	0.6	248.59240381087835	68	68	13	13	1
[2]	[[-124.30000000000001, 604.5500000000001]]	0	0.9704242014534392	0.9704242014534392	1	317.2724788387927	9994	3923	0.2	312.95458630002656	5742	5917	1089	1121	1
[2]	[[-71.13500000000002, 433.135]]	0	0.977039067854695	0.977039067854695	3	320.3325665518554	9994	3944	0.2	966.8796986559028	5702	5836	1085	1110	1
[2]	[[-124.30000000000001, 563.435]]	0	0.9733242134062927	0.9733242134062927	1	317.2724788414843	9994	3976	0.2	312.9545863082408	5692	5848	1089	1118	1
[2]	[[-124.30000000000001, 524.11]]	0	0.9743589743589743	0.9743589743589743	2	317.2724788414843	9994	4047	0.2	625.9091726164816	5624	5772	1089	1117	1
[2, 3]	[[447.72499999999997, 664.345], '23']	1	1.0	1.0	1	274.885824	9865	4105	0.4	274.885824	10	10	2	2	1
[2, 0, 3]	[[473.375, 805.1188466655724], '4', '21']	1	1.0	1.0	1	276.2114876178774	9896	4136	0.6	276.2114876178774	25	25	5	5	1
[2, 1]	[[484.83731333598905, 796.625], '2']	1	1.0	1.0	6	264.9816983846796	9896	4136	0.4	1589.8901903080775	60	60	12	12	1
