LaneNumber	LaneDirection	Volume	Hour	DayNumber	Class
5	2	323	21	3	0
6	2	342	21	3	0
4	2	161	22	3	0
5	2	287	22	3	0
6	2	338	22	3	0
4	2	88	23	3	0
5	2	155	23	3	0
6	2	180	23	3	0
4	2	210	21	4	0
5	2	329	21	4	0
6	2	314	21	4	0
4	2	168	22	4	0
5	2	360	22	4	0
6	2	362	22	4	0
4	2	128	23	4	0
5	2	274	23	4	0
6	2	284	23	4	0
4	2	172	21	0	0
5	2	276	21	0	0
6	2	300	21	0	0
4	2	122	22	0	0
5	2	203	22	0	0
6	2	253	22	0	0
4	2	67	23	0	0
5	2	140	23	0	0
6	2	125	23	0	0
4	2	213	21	1	0
5	2	342	21	1	0
6	2	365	21	1	0
4	2	183	22	1	0
5	2	267	22	1	0
6	2	336	22	1	0
4	2	75	23	1	0
5	2	150	23	1	0
6	2	145	23	1	0
4	2	243	21	2	0
5	2	356	21	2	0
6	2	403	21	2	0
4	2	151	22	2	0
5	2	254	22	2	0
6	2	325	22	2	0
4	2	70	23	2	0
5	2	171	23	2	0
6	2	175	23	2	0
4	2	253	21	3	0
5	2	393	21	3	0
6	2	408	21	3	0
4	2	149	22	3	0
5	2	290	22	3	0
6	2	335	22	3	0
4	2	105	23	3	0
5	2	201	23	3	0
6	2	244	23	3	0
4	2	211	21	4	0
5	2	321	21	4	0
6	2	303	21	4	0
4	2	151	22	4	0
5	2	333	22	4	0
6	2	353	22	4	0
4	2	128	23	4	0
5	2	265	23	4	0
6	2	260	23	4	0
4	2	160	21	0	0
5	2	285	21	0	0
6	2	344	21	0	0
4	2	134	22	0	0
5	2	215	22	0	0
6	2	264	22	0	0
4	2	60	23	0	0
5	2	145	23	0	0
6	2	191	23	0	0
4	2	121	21	1	0
5	2	383	21	1	0
6	2	305	21	1	0
4	2	81	22	1	0
5	2	306	22	1	0
6	2	366	22	1	0
4	2	47	23	1	0
5	2	164	23	1	0
6	2	186	23	1	0
4	2	254	21	2	0
5	2	324	21	2	0
6	2	343	21	2	0
4	2	125	22	2	0
5	2	257	22	2	0
6	2	329	22	2	0
4	2	63	23	2	0
5	2	145	23	2	0
6	2	151	23	2	0
4	2	181	21	3	0
5	2	323	21	3	0
6	2	371	21	3	0
4	2	158	22	3	0
5	2	298	22	3	0
6	2	370	22	3	0
4	2	87	23	3	0
5	2	189	23	3	0
6	2	241	23	3	0
4	2	204	21	4	0
5	2	349	21	4	0
6	2	325	21	4	0
4	2	144	22	4	0
5	2	341	22	4	0
6	2	401	22	4	0
4	2	112	23	4	0
5	2	230	23	4	0
6	2	283	23	4	0
4	2	156	21	0	0
5	2	270	21	0	0
6	2	279	21	0	0
4	2	111	22	0	0
5	2	221	22	0	0
6	2	270	22	0	0
4	2	65	23	0	0
5	2	126	23	0	0
6	2	155	23	0	0
4	2	174	21	1	0
5	2	361	21	1	0
6	2	365	21	1	0
4	2	112	22	1	0
5	2	279	22	1	0
6	2	334	22	1	0
4	2	31	23	1	0
5	2	174	23	1	0
6	2	164	23	1	0
4	2	628	21	2	1
5	2	614	21	2	1
6	2	817	21	2	1
4	2	1024	22	2	1
5	2	919	22	2	1
6	2	1096	22	2	1
4	2	122	23	2	1
5	2	269	23	2	1
6	2	383	23	2	1
4	2	217	21	3	0
5	2	348	21	3	0
6	2	373	21	3	0
4	2	178	22	3	0
5	2	299	22	3	0
6	2	428	22	3	0
4	2	76	23	3	0
5	2	187	23	3	0
6	2	222	23	3	0
4	2	142	21	4	0
5	2	394	21	4	0
6	2	375	21	4	0
